0814EEE7  TONG_ApplyInit
0814FD81  TONG_ApplyKickMember
0814F106  TONG_ApplyMaintain
081502F7  TONG_ApplySetAnnouncement
081491D8  TONG_ApplySetBuildFund
0814DD38  TONG_ApplySetCurWeekGoalLevel
0814AAF8  TONG_ApplySetDay
0814C73C  TONG_ApplySetLWeekGoalEvent
0814CA60  TONG_ApplySetLWeekGoalLevel
0814D0A8  TONG_ApplySetLWeekGoalPlayer
0814DA14  TONG_ApplySetLWeekGoalPricePlayer
0814D6F0  TONG_ApplySetLWeekGoalPriceTong
0814CD84  TONG_ApplySetLWeekGoalTotal
0814D3CC  TONG_ApplySetLWeekGoalValue
0814A4B0  TONG_ApplySetMaintainFund
0814EC80  TONG_ApplySetMoney
08148EB4  TONG_ApplySetOccupyCityDay
08149E68  TONG_ApplySetPauseState
0814E9C8  TONG_ApplySetPerStandFund
0814A7D4  TONG_ApplySetStoredBuildFund
0814A18C  TONG_ApplySetStoredOffer
081507C1  TONG_ApplySetStunt
0814F626  TONG_ApplySetTaskValue
081500A3  TONG_ApplySetTongMap
08147A7E  TONG_ApplySetTongMapBan
0814E6A4  TONG_ApplySetTotalBuildFund
08149B44  TONG_ApplySetWarBuildFund
0814AE1C  TONG_ApplySetWeek
0814E05C  TONG_ApplySetWeekBuildFund
0814E380  TONG_ApplySetWeekBuildUpper
0814B140  TONG_ApplySetWeekGoalEvent
0814B464  TONG_ApplySetWeekGoalLevel
0814BAAC  TONG_ApplySetWeekGoalPlayer
0814C418  TONG_ApplySetWeekGoalPricePlayer
0814C0F4  TONG_ApplySetWeekGoalPriceTong
0814B788  TONG_ApplySetWeekGoalTotal
0814BDD0  TONG_ApplySetWeekGoalValue
0814EF68  TONG_ApplyUpgrade
0814F187  TONG_ApplyWeeklyMaintain
081501E6  TONG_ChangeAllMemberFeature
08153ED8  TONG_ContributeOffer
08154240  TONG_DistributeOfferToGroup
08154091  TONG_DistributeOfferToMember
0814916C  TONG_GetBuildFund
08149424  TONG_GetBuildLevel
081481B4  TONG_GetCredit
08147E90  TONG_GetCurCamp
0814DC60  TONG_GetCurWeekGoalLevel
0814AA20  TONG_GetDay
081484D8  TONG_GetExp
081487FC  TONG_GetExpLevel
0814FBBA  TONG_GetFirstMember
08147947  TONG_GetFirstTong
0814C664  TONG_GetLWeekGoalEvent
0814C988  TONG_GetLWeekGoalLevel
0814CFD0  TONG_GetLWeekGoalPlayer
0814D93C  TONG_GetLWeekGoalPricePlayer
0814D618  TONG_GetLWeekGoalPriceTong
0814CCAC  TONG_GetLWeekGoalTotal
0814D2F4  TONG_GetLWeekGoalValue
0814A3D8  TONG_GetMaintainFund
0814F2AD  TONG_GetMaster
0814F30A  TONG_GetMemberCount
0814EC14  TONG_GetMoney
081506A2  TONG_GetName
0814FC88  TONG_GetNextMember
081479A7  TONG_GetNextTong
08148DDC  TONG_GetOccupyCityDay
0814F3ED  TONG_GetOnlineCount
08149D90  TONG_GetPauseState
0814E95C  TONG_GetPerStandFund
08149748  TONG_GetPremium
08147B6C  TONG_GetSelfCamp
08148AE8  TONG_GetStandFund
0814A6FC  TONG_GetStoredBuildFund
0814A0B4  TONG_GetStoredOffer
0814FB16  TONG_GetTaskTemp
